lag,bic,aic,error
1,362.92866165391337,353.3665042363911,
2,357.4770682720844,344.7499340709161,
3,355.72000227445193,339.83925361158276,
4,359.9714795533863,340.9485755831574,
5,363.3180001086813,341.1644982912167,
6,366.9789340437042,341.706491649988,
7,369.7114809309466,341.3318565804666,
8,372.1040375386146,340.62909277048004,
9,369.4730361819142,334.91473706038494,
10,371.4887656646133,333.8591844200102,
11,375.5331395198044,334.84445622580444,
12,375.20921206227075,331.4737163506251,
